name,type,value,date
n,전라남도,2099308,2001-01-01
o,경상북도,2784704,2001-01-01
p,경상남도,3106502,2001-01-01
q,제주특별자치도,546889,2001-01-01
a,서울특별시,10207295,2002-01-01
b,부산광역시,3730125,2002-01-01
c,대구광역시,2525803,2002-01-01
d,인천광역시,2577989,2002-01-01
e,광주광역시,1397452,2002-01-01
f,대전광역시,1419573,2002-01-01
g,울산광역시,1065037,2002-01-01
i,경기도,9927473,2002-01-01
j,강원도,1538720,2002-01-01
k,충청북도,1492713,2002-01-01
l,충청남도,1907725,2002-01-01
m,전라북도,1953846,2002-01-01
n,전라남도,2054204,2002-01-01
o,경상북도,2756744,2002-01-01
p,경상남도,3124418,2002-01-01
q,제주특별자치도,550831,2002-01-01
a,서울특별시,10174086,2003-01-01
b,부산광역시,3691445,2003-01-01
c,대구광역시,2529544,2003-01-01
d,인천광역시,2570194,2003-01-01
e,광주광역시,1395762,2003-01-01
f,대전광역시,1432296,2003-01-01
g,울산광역시,1072867,2003-01-01
i,경기도,10206851,2003-01-01
j,강원도,1527034,2003-01-01
k,충청북도,1489635,2003-01-01
l,충청남도,1912803,2003-01-01
m,전라북도,1954430,2003-01-01
n,전라남도,2017730,2003-01-01
o,경상북도,2720832,2003-01-01
p,경상남도,3139017,2003-01-01
q,제주특별자치도,552297,2003-01-01
a,서울특별시,10173162,2004-01-01
b,부산광역시,3666345,2004-01-01
c,대구광역시,2524712,2004-01-01
d,인천광역시,2578817,2004-01-01
e,광주광역시,1401172,2004-01-01
f,대전광역시,1443471,2004-01-01
g,울산광역시,1081453,2004-01-01
i,경기도,10462920,2004-01-01
j,강원도,1521375,2004-01-01
k,충청북도,1488945,2004-01-01
l,충청남도,1953406,2004-01-01
m,전라북도,1906742,2004-01-01
n,전라남도,1986192,2004-01-01
o,경상북도,2695917,2004-01-01
p,경상남도,3143814,2004-01-01
q,제주특별자치도,555362,2004-01-01
a,서울특별시,10167344,2005-01-01
b,부산광역시,3638293,2005-01-01
c,대구광역시,2511306,2005-01-01
d,인천광역시,2600495,2005-01-01
e,광주광역시,1401745,2005-01-01
f,대전광역시,1454638,2005-01-01
g,울산광역시,1087648,2005-01-01
i,경기도,10697215,2005-01-01
j,강원도,1513110,2005-01-01
k,충청북도,1488803,2005-01-01
l,충청남도,1962646,2005-01-01
m,전라북도,1885335,2005-01-01
n,전라남도,1967205,2005-01-01
o,경상북도,2688491,2005-01-01
p,경상남도,3160431,2005-01-01
q,제주특별자치도,557569,2005-01-01
a,서울특별시,10181166,2006-01-01
b,부산광역시,3611992,2006-01-01
c,대구광역시,2496115,2006-01-01
d,인천광역시,2624391,2006-01-01
e,광주광역시,1407798,2006-01-01
f,대전광역시,1466158,2006-01-01
g,울산광역시,1092494,2006-01-01
i,경기도,10906033,2006-01-01
j,강원도,1505420,2006-01-01
k,충청북도,1494559,2006-01-01
l,충청남도,1974433,2006-01-01
m,전라북도,1868365,2006-01-01
n,전라남도,1942925,2006-01-01
o,경상북도,2688577,2006-01-01
p,경상남도,3172857,2006-01-01
q,제주특별자치도,558496,2006-01-01
a,서울특별시,10192710,2007-01-01
b,부산광역시,3587439,2007-01-01
c,대구광역시,2493261,2007-01-01
d,인천광역시,2664576,2007-01-01
e,광주광역시,1413444,2007-01-01
f,대전광역시,1475659,2007-01-01
g,울산광역시,1099995,2007-01-01
i,경기도,11106211,2007-01-01
j,강원도,1503806,2007-01-01
k,충청북도,1506608,2007-01-01
l,충청남도,1995531,2007-01-01
m,전라북도,1862277,2007-01-01
n,전라남도,1929836,2007-01-01
o,경상북도,2681364,2007-01-01
p,경상남도,3196953,2007-01-01
q,제주특별자치도,559258,2007-01-01
a,서울특별시,10200827,2008-01-01
b,부산광역시,3564577,2008-01-01
c,대구광역시,2492724,2008-01-01
d,인천광역시,2692696,2008-01-01
e,광주광역시,1422702,2008-01-01
f,대전광역시,1480895,2008-01-01
g,울산광역시,1112407,2008-01-01
i,경기도,11292264,2008-01-01
j,강원도,1508575,2008-01-01
k,충청북도,1519587,2008-01-01
l,충청남도,2018537,2008-01-01
m,전라북도,1855772,2008-01-01
n,전라남도,1919000,2008-01-01
o,경상북도,2673931,2008-01-01
p,경상남도,3225255,2008-01-01
q,제주특별자치도,560618,2008-01-01
a,서울특별시,10208302,2009-01-01
b,부산광역시,3543030,2009-01-01
c,대구광역시,2489781,2009-01-01
d,인천광역시,2710579,2009-01-01
e,광주광역시,1433640,2009-01-01
f,대전광역시,1484180,2009-01-01
g,울산광역시,1114866,2009-01-01
i,경기도,11460610,2009-01-01
j,강원도,1512870,2009-01-01
k,충청북도,1527478,2009-01-01
l,충청남도,2037582,2009-01-01
m,전라북도,1854508,2009-01-01
n,전라남도,1913004,2009-01-01
o,경상북도,2669876,2009-01-01
p,경상남도,3250176,2009-01-01
q,제주특별자치도,562663,2009-01-01
a,서울특별시,10312545,2010-01-01
b,부산광역시,3567910,2010-01-01
c,대구광역시,2511676,2010-01-01
d,인천광역시,2758296,2010-01-01
e,광주광역시,1454636,2010-01-01
f,대전광역시,1503664,2010-01-01
g,울산광역시,1126298,2010-01-01
i,경기도,11786622,2010-01-01
j,강원도,1529818,2010-01-01
k,충청북도,1549528,2010-01-01
l,충청남도,2075514,2010-01-01
m,전라북도,1868963,2010-01-01
n,전라남도,1918485,2010-01-01
o,경상북도,2689920,2010-01-01
p,경상남도,3290536,2010-01-01
q,제주특별자치도,571255,2010-01-01
a,서울특별시,10249679,2011-01-01
b,부산광역시,3550963,2011-01-01
c,대구광역시,2507271,2011-01-01
d,인천광역시,2801274,2011-01-01
e,광주광역시,1463464,2011-01-01
f,대전광역시,1515603,2011-01-01
g,울산광역시,1135494,2011-01-01
i,경기도,11937415,2011-01-01
j,강원도,1536448,2011-01-01
k,충청북도,1562903,2011-01-01
l,충청남도,2101284,2011-01-01
m,전라북도,1874031,2011-01-01
n,전라남도,1914339,2011-01-01
o,경상북도,2699195,2011-01-01
p,경상남도,3308765,2011-01-01
q,제주특별자치도,576156,2011-01-01
a,서울특별시,10195318,2012-01-01
b,부산광역시,3538484,2012-01-01
c,대구광역시,2505644,2012-01-01
d,인천광역시,2843981,2012-01-01
e,광주광역시,1469216,2012-01-01
f,대전광역시,1524583,2012-01-01
g,울산광역시,1147256,2012-01-01
h,세종특별자치시,113117,2012-01-01
i,경기도,12093299,2012-01-01
j,강원도,1538630,2012-01-01
k,충청북도,1565628,2012-01-01
l,충청남도,2028777,2012-01-01
m,전라북도,1873341,2012-01-01
n,전라남도,1909618,2012-01-01
o,경상북도,2698353,2012-01-01
p,경상남도,3319314,2012-01-01
q,제주특별자치도,583713,2012-01-01
a,서울특별시,10143645,2013-01-01
b,부산광역시,3527635,2013-01-01
c,대구광역시,2501588,2013-01-01
d,인천광역시,2879782,2013-01-01
e,광주광역시,1472910,2013-01-01
f,대전광역시,1532811,2013-01-01
